ApplStandard,MEPSComp,N-Standard,Model_No,Family Name,avg_pwr_standby_mode,Brand,C-Dehumid_Rated,Configuration1,Configuration2,Configuration2-unitmount,Configuration3_Sink,Configuration3_Source,Country,C-Power_Inp_Rated,C-Sens_Cool_Rated,C-Total Cool Rated,Depth,H2_COP,H2_HeatPwrCapacity,H2_HeatPwrInput,Height,H-Power_Inp_Rated,H-Total Heat Rated,indoorType,EERtestAvg,COPtestAvg,Invert,Setting_cool,Setting_heat,Pnoc,Pnoh,VSCP_EER50,VSCP_COP50,eermepslev,TestedOutputEER,TestedOutputCOP,AnnualOutputEER,AnnualOutputCOP,PL_EERMEPS,PL_COPMEPS,sri2010_cool,sri2010_heat,Star2010_Cool,Star2010_Heat,outdoortype,Phase,Refrigerant,Sold_in,Submit_ID,ExpDate,GrandDate,SubmitStatus,Type,Width,Product Class,Demand Response 1,Demand Response 2,Demand Response 4,Demand Response 5,Demand Response 6,Demand Response 7,PartNumber,EER,Availability Status,star2000_cool,star2000_heat,Variable Output Compressor,Registration Number
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,PHE 45,PH/PHE 45,,DUNNAIR,8.2,Ducted,Packaged,,Air,Air,China,14.5,36.4,44.6,,0,0,0,,14.2,44.2,Enthalpy Test Room,3.099,3.1763,FALSE,0,,70,80,0,0,,,,3.048592788,3.114294792,,,0,0,0,0,Enthalpy Test Room,Three,R410A,Australia,105694,2022/3/22,,Approved,Reverse Cycle,,Class 12,FALSE,,FALSE,,,,,3.099,Available,,,,AAC2483
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,PH/PHE 45,PH/PHE 45,,DUNNAIR,8.2,Ducted,Packaged,,Air,Air,China,14.5,36.4,44.6,,0,0,0,,14.2,44.2,Enthalpy Test Room,3.099,3.1763,FALSE,0,,70,80,0,0,,,,3.048592788,3.114294792,,,0,0,0,0,Enthalpy Test Room,Three,R410A,Australia,105694,2022/3/22,,Approved,Reverse Cycle,,Class 12,FALSE,,FALSE,,,,,3.099,Available,,,,AAC2483
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,PH 56,PH/PHE 56,,DUNNAIR,10.6,Ducted,Packaged,,Air,Air,China,18.4,44.5,55.1,,0,0,0,,17.9,55.6,Enthalpy Test Room,3.0329,3.117,FALSE,0,,100,115,0,0,,,,2.977044711,3.049823465,,,0,0,0,0,Enthalpy Test Room,Three,R410A,Australia,105696,2022/3/24,,Approved,Reverse Cycle,,Class 12,FALSE,,TRUE,,,,DAT-770,3.0329,Available,,,,AAC2493
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,PHE 56,PH/PHE 56,,DUNNAIR,10.6,Ducted,Packaged,,Air,Air,China,18.4,44.5,55.1,,0,0,0,,17.9,55.6,Enthalpy Test Room,3.0329,3.117,FALSE,0,,100,115,0,0,,,,2.977044711,3.049823465,,,0,0,0,0,Enthalpy Test Room,Three,R410A,Australia,105696,2022/3/24,,Approved,Reverse Cycle,,Class 12,FALSE,,TRUE,,,,DAT-770,3.0329,Available,,,,AAC2493
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,PH/PHE 56,PH/PHE 56,,DUNNAIR,10.6,Ducted,Packaged,,Air,Air,China,18.4,44.5,55.1,,0,0,0,,17.9,55.6,Enthalpy Test Room,3.0329,3.117,FALSE,0,,100,115,0,0,,,,2.977044711,3.049823465,,,0,0,0,0,Enthalpy Test Room,Three,R410A,Australia,105696,2022/3/24,,Approved,Reverse Cycle,,Class 12,FALSE,,TRUE,,,,DAT-770,3.0329,Available,,,,AAC2493
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.2:2001/Amdt 5:2010,PEAD-RP125JAA / PUHZ-RP125YKA2,,,MITSUBISHI ELECTRIC,1.92,Ducted,Single Split System,,Air,Air,"Thailand,Japan",3.6,10.08,12,732,0,0,0,250,3.5,14,Calorimeter Room,3.3763,4.1455,TRUE,52.8,,73.25,71.46,4.604212055,0,,,,3.153703085,3.865435738,,,0,0,0,0,Calorimeter Room,Three,R410A,"Australia,New Zealand",105745,2022/3/18,,Approved,Reverse Cycle,1400,Class 7,FALSE,,FALSE,,,,,3.3763,Available,,,TRUE,AAC2457
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.2:2001/Amdt 5:2010,PEAD-RP140JAA / PUHZ-RP140VKA2,,,MITSUBISHI ELECTRIC,1.43,Ducted,Single Split System,,Air,Air,"Thailand,Japan",3.91,11.57,13,732,0,0,0,250,4.04,16,Calorimeter Room,3.2934,4.0759,TRUE,59.4,,64.91,63.25,4.198585419,0,,,,3.11707327,3.86197651,,,0,0,0,0,Calorimeter Room,Single,R410A,"Australia,New Zealand",105746,2022/3/18,,Approved,Reverse Cycle,1600,Class 7,FALSE,,FALSE,,,,,3.2934,Available,,,TRUE,AAC2458
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.2:2001/Amdt 5:2010,PEAD-RP140JAA / PUHZ-RP140YKA2,,,MITSUBISHI ELECTRIC,1.43,Ducted,Single Split System,,Air,Air,"Thailand,Japan",3.91,11.57,13,732,0,0,0,250,4.04,16,Calorimeter Room,3.2934,4.0759,TRUE,59.4,,73.25,71.46,4.198585419,0,,,,3.095780167,3.83584112,,,0,0,0,0,Calorimeter Room,Three,R410A,"Australia,New Zealand",105747,2022/3/18,,Approved,Reverse Cycle,1600,Class 7,FALSE,,FALSE,,,,,3.2934,Available,,,TRUE,AAC2459
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,ASTG09LUCB / AOTG09LUCB,,,FUJITSU,0.89,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.58,1.61,2.5,185,0,0,0,282,0.78,3.4,Calorimeter Room,4.4526,4.4704,TRUE,0,,5.56,5.49,0,0,,,,4.310514667,4.365959261,,,4.121,4.2319,4,4,Calorimeter Room,Single,R410A,"Australia,New Zealand",105772,2022/5/10,,Approved,Reverse Cycle,870,Class 3,FALSE,,TRUE,,,,UTY-XCZZ2,4.4526,Available,,,TRUE,AAC2549
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,ARTG60LHTA/AOTG60LATT,,,FUJITSU,1.37,Ducted,Single Split System,,Air,Air,China,4.7,13.63,15,490,0,0,0,425,5.15,18,Enthalpy Test Room,3.2137,3.5229,TRUE,65,,17.48,17.46,4.264204545,0,,,,3.174058133,3.482828472,,,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",105773,2022/5/19,,Approved,Reverse Cycle,1250,Class 7,FALSE,,TRUE,,,,UTY-XCZZ1,3.2137,Available,,,TRUE,AAC2569
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,ARTG45LHTA/AOTG45LATL,,,FUJITSU,0.68,Ducted,Single Split System,,Air,Air,Thailand,4.03,11.82,12.5,490,0,0,0,425,3.8,14,Enthalpy Test Room,3.2338,3.7029,TRUE,65,,10.46,10.35,4.268597762,0,,,,3.205305079,3.669274852,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",105775,2022/5/22,,Approved,Reverse Cycle,1250,Class 7,FALSE,,FALSE,,,,,3.2338,Available,,,TRUE,AAC2572
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,ASTG12LVCC/AOTG12LVCC,,,FUJITSU,1.23,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.92,2.27,3.5,225,0,0,0,293,1.11,4.8,Calorimeter Room,3.8839,4.4135,TRUE,60,,6.06,5.91,5.773700306,5.417515275,,,,3.800173975,4.335491079,,,3.1003,4.171,3,4,Calorimeter Room,Single,R410A,"Australia,New Zealand",105776,2022/5/10,,Approved,Reverse Cycle,790,Class 3,FALSE,,TRUE,,,,UTY-XCZZ2,3.8839,Available,,,TRUE,AAC2550
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,AUTG54LRLA/AOTG54LATT,,,FUJITSU,3.4,Non Ducted,Single Split System,Cassette,Air,Air,"Thailand,China",4.36,10.6,14,288,0,0,0,288,4.43,16,Enthalpy Test Room,3.2225,3.7189,TRUE,65,,17.69,17.67,4.643564356,0,,,,3.17903465,3.668264989,,,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",105777,2022/5/9,,Approved,Reverse Cycle,840,Class 5,FALSE,,TRUE,,,,UTY-XCZZ1,3.2225,Available,,,TRUE,AAC2548
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,ASTG09LVCC/AOTG09LVCC,,,FUJITSU,0.89,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.58,1.61,2.5,225,0,0,0,293,0.73,3.4,Calorimeter Room,4.4549,4.7879,TRUE,0,,5.56,5.49,0,0,,,,4.314107366,4.668552891,,,4.1282,4.8371,4,4.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",105778,2022/5/1,,Approved,Reverse Cycle,790,Class 3,FALSE,,TRUE,,,,UTY-XCZZ2,4.4549,Available,,,TRUE,AAC2527
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,ASTG22LVCC/AOTG22LVCC,,,FUJITSU,1.84,Non Ducted,Single Split System,Wall Hung,Air,Air,China,1.95,4.46,6.3,225,0,0,0,293,2.03,7.2,Calorimeter Room,3.3326,3.5516,TRUE,60,,6,5.98,4.772277228,4.946475196,,,,3.297987981,3.516981211,,,2.096,2.534,2,2.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",105780,2022/5/26,,Approved,Reverse Cycle,790,Class 4,FALSE,,TRUE,,,,UTY-XCZZ2,3.3326,Available,,,TRUE,AAC2584
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,ABTG54LRTA/AOTG54LATT,,,FUJITSU,3.4,Non Ducted,Single Split System,Floor/Ceiling,Air,Air,"Thailand,China",4.34,10.4,13.8,700,0,0,0,240,4.67,16,Enthalpy Test Room,3.2073,3.5101,TRUE,65,,17.39,17.38,4.469072165,0,,,,3.164199639,3.465943043,,,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",105781,2022/5/19,,Approved,Reverse Cycle,1660,Class 5,FALSE,,TRUE,,,,UTY-XCZZ1,3.2073,Available,,,TRUE,AAC2570
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,ASTG18LVCC/AOTG18LVCC,,,FUJITSU,1.78,Non Ducted,Single Split System,Wall Hung,Air,Air,China,1.53,3.22,5,225,0,0,0,293,1.49,6,Calorimeter Room,3.4003,4.1193,TRUE,60,,6,5.98,5.228915663,5.229372937,,,,3.355752349,4.062972971,,,2.2115,3.6259,2,3.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",105782,2022/5/1,,Approved,Reverse Cycle,790,Class 4,FALSE,,TRUE,,,,UTY-XCZZ2,3.4003,Available,,,TRUE,AAC2531
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,ARTG36LHTB/AOTG36LATT,,,FUJITSU,1.02,Ducted,Single Split System,,Air,Air,Thailand,3.18,9.48,10.5,500,0,0,0,400,3.3,12.1,Enthalpy Test Room,3.3476,3.8028,TRUE,0,,17.69,17.67,0,0,,,,3.285393819,3.73303474,,,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",105784,2022/5/19,,Approved,Reverse Cycle,1050,Class 7,FALSE,,TRUE,,,,UTY-XCZZ1,3.3476,Available,,,TRUE,AAC2568
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,ARTG45LHTB/AOTG45LATT,,,FUJITSU,0.68,Ducted,Single Split System,,Air,Air,Thailand,3.82,11.82,12.5,490,0,0,0,425,3.67,14,Enthalpy Test Room,3.2979,4.0559,TRUE,0,,17.48,17.46,0,0,,,,3.247606508,3.988078508,,,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",105787,2022/5/24,,Approved,Reverse Cycle,1250,Class 7,FALSE,,TRUE,,,,UTY-XCZZ1,3.2979,Available,,,TRUE,AAC2582
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,ASTG24LFCC / AOTG24LFCC,,,FUJITSU,1.85,Non Ducted,Single Split System,Wall Hung,Air,Air,China,2.17,5.25,7.1,238,0,0,0,320,2.26,8,Calorimeter Room,3.3387,3.622,TRUE,62.5,,5.02,5.14,4.747663551,4.938063063,,,,3.312862443,3.594528151,,,2.1257,2.6891,2,2.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",105792,2022/7/6,,Approved,Reverse Cycle,998,Class 4,FALSE,,TRUE,,,,UTY-XCZZ4,3.3387,Available,,,TRUE,AAC2687
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,ASTG30LFCC / AOTG30LFTC,,,FUJITSU,2,Non Ducted,Single Split System,Wall Hung,Air,Air,"Thailand,China",2.42,6,8,238,0,0,0,320,2.64,9,Calorimeter Room,3.3489,3.4775,TRUE,61.9,,5.97,6.07,4.259962049,4.878025169,,,,3.320992524,3.450368587,,,2.142,2.4007,2,2,Calorimeter Room,Single,R410A,"Australia,New Zealand",105796,2022/7/6,,Approved,Reverse Cycle,998,Class 4,FALSE,,TRUE,,,,UTY-XCZZ3,3.3489,Available,,,TRUE,AAC2689
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,ASTG34LFCC / AOTG34LFTC,,,FUJITSU,2.4,Non Ducted,Single Split System,Wall Hung,Air,Air,"Thailand,China",2.8,6.8,9.2,238,0,0,0,320,3.03,10,Calorimeter Room,3.3201,3.4565,TRUE,62,,8.7,8.8,4.281199352,4.737021277,,,,3.285494716,3.421964449,,,2.071,2.3439,2,2,Calorimeter Room,Single,R410A,"Australia,New Zealand",105797,2022/7/6,,Approved,Reverse Cycle,998,Class 4,FALSE,,TRUE,,,,UTY-XCZZ3,3.3201,Available,,,TRUE,AAC2692
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,AGTV09LAC/AOTV09LAC,,,FUJITSU,0.27,Non Ducted,Single Split System,Floor Mounted,Air,Air,China,0.6,2.33,2.6,200,0,0,0,600,0.81,3.5,Calorimeter Room,4.3601,4.3412,TRUE,0,,11.11,10.98,0,0,,,,4.102107976,4.150099085,,,3.7042,3.8002,3.5,3.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",105823,2022/5/9,,Approved,Reverse Cycle,740,Class 3,FALSE,,FALSE,,,,,4.3601,Available,,,TRUE,AAC2544
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,AGTV14LAC/AOTV14LAL AOTV14LAC,,,FUJITSU,1.05,Non Ducted,Single Split System,Floor Mounted,Air,Air,China,1.22,3.15,4.2,200,0,0,0,600,1.44,5.2,Calorimeter Room,3.4685,3.6404,TRUE,0,,10.66,10.6,0,0,,,,3.369258322,3.551740924,,,2.2385,2.6035,2,2.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",105824,2022/5/31,,Approved,Reverse Cycle,740,Class 4,FALSE,,FALSE,,,,,3.4685,Available,,,TRUE,AAC2608
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,AJTA72GALH / AUXD18GALH,,,FUJITSU,6.2,Non Ducted,Multiple split - VRF,,Air,Air,China,12.79,38.6,44.8,,0,0,0,,12.53,50,Enthalpy Test Room,3.3838,4.0722,TRUE,0,,221,221,0,0,,,,3.204044099,3.842441034,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",105835,2022/5/3,,Approved,Reverse Cycle,,Class 12,FALSE,,FALSE,,,,,3.3838,Available,,,TRUE,AAC2535
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,AJTA90GALH / AJTA72GALH / AUXD18GALH / AUXA30GALH,,,FUJITSU,7.8,Non Ducted,Multiple split - VRF,,Air,Air,China,15.05,42.6,50.4,,0,0,0,,14.97,56.5,Enthalpy Test Room,3.2363,3.866,TRUE,0,,221,221,0,0,,,,3.088646941,3.679821672,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",105845,2022/5/1,,Approved,Reverse Cycle,,Class 12,FALSE,,FALSE,,,,,3.2363,Available,,,TRUE,AAC2530
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,AJTA90GALH / AUXD18GALH / AUXA30GALH,,,FUJITSU,9.4,Non Ducted,Multiple split - VRF,,Air,Air,China,17.33,46.6,56,,0,0,0,,17.41,63,Enthalpy Test Room,3.1268,3.7146,TRUE,0,,221,221,0,0,,,,3.001770093,3.558582818,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",105847,2022/5/3,,Approved,Reverse Cycle,,Class 12,FALSE,,FALSE,,,,,3.1268,Available,,,TRUE,AAC2536
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,AJT108GALH / AJTA72GALH / AUXD18GALH / AUXA36GALH,,,FUJITSU,10.3,Non Ducted,Multiple split - VRF,,Air,Air,China,16.78,45.6,55.9,,0,0,0,,16.18,62.5,Enthalpy Test Room,3.2117,3.9252,TRUE,0,,221,221,0,0,,,,3.080748027,3.753359219,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",105848,2022/5/3,,Approved,Reverse Cycle,,Class 12,FALSE,,FALSE,,,,,3.2117,Available,,,TRUE,AAC2537
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,AJT108GALH / AJTA90GALH / AUXD18GALH / AUXA30GALH / AUXA36GALH,,,FUJITSU,11.9,Non Ducted,Multiple split - VRF,,Air,Air,China,19.05,49.6,61.5,,0,0,0,,18.62,69,Enthalpy Test Room,3.1158,3.7794,TRUE,0,,221,221,0,0,,,,3.002960488,3.633387076,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",105849,2022/5/3,,Approved,Reverse Cycle,,Class 12,FALSE,,FALSE,,,,,3.1158,Available,,,TRUE,AAC2538
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,HINRA80/HONRA80,,,Rinnai,1.89,Non Ducted,Single Split System,Wall Hung,Air,Air,"China,Australia",2.3,5.94,7.83,232,0,0,0,342,2.37,7.99,Calorimeter Room,3.4024,3.3783,TRUE,0,,1,1,0,0,,,,3.39744313,3.373456347,,,2.2949,2.2469,2,2,Calorimeter Room,Single,R410A,"Australia,New Zealand",105862,2022/4/11,,Approved,Reverse Cycle,1106,Class 4,TRUE,TRUE,,TRUE,TRUE,TRUE,,3.4024,Available,,,TRUE,AAC2510
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,PCA-RP125KAQ / PUHZ-RP125VKA2,,,MITSUBISHI ELECTRIC,2.76,Non Ducted,Single Split System,Under ceiling,Air,Air,Japan,3.66,9.24,12,680,0,0,0,230,3.88,14,Calorimeter Room,3.2773,3.5805,TRUE,54.3,,64.91,63.25,4.88155922,0,,,,3.093180256,3.39307944,,,0,0,0,0,Calorimeter Room,Single,R410A,"Australia,New Zealand",105877,2022/4/10,,Approved,Reverse Cycle,1600,Class 5,FALSE,,FALSE,,,,,3.2773,Available,,,TRUE,AAC2470
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,PCA-RP140KAQ / PUHZ-RP140VKA2,,,MITSUBISHI ELECTRIC,3.38,Non Ducted,Single Split System,Under ceiling,Air,Air,Japan,3.97,9.62,13,680,0,0,0,230,4.43,16,Calorimeter Room,3.2425,3.5102,TRUE,55.9,,64.91,63.25,4.437728938,0,,,,3.07373272,3.349865461,,,0,0,0,0,Calorimeter Room,Single,R410A,"Australia,New Zealand",105878,2022/4/10,,Approved,Reverse Cycle,1600,Class 5,FALSE,,FALSE,,,,,3.2425,Available,,,TRUE,AAC2471
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,PLA-RP125BA / PUHZ-RP125VKA2,,,MITSUBISHI ELECTRIC,3.63,Non Ducted,Single Split System,Cassette,Air,Air,Japan,3.8,8.87,12.5,840,0,0,0,298,3.71,14,Enthalpy Test Room,3.25,3.7119,TRUE,51.7,,64.91,63.25,4.805803571,0,,,,3.072247321,3.509746394,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",105879,2022/4/10,,Approved,Reverse Cycle,840,Class 5,FALSE,,FALSE,,,,,3.25,Available,,,TRUE,AAC2472
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,PLA-RP140BA / PUHZ-RP140VKA2,,,MITSUBISHI ELECTRIC,3.38,Non Ducted,Single Split System,Cassette,Air,Air,Japan,3.97,9.62,13,840,0,0,0,298,4.43,16,Calorimeter Room,3.3497,3.5538,TRUE,56.3,,64.91,63.25,4.458307973,0,,,,3.170705246,3.391839924,,,0,0,0,0,Calorimeter Room,Single,R410A,"Australia,New Zealand",105880,2022/4/10,,Approved,Reverse Cycle,840,Class 5,FALSE,,FALSE,,,,,3.3497,Available,,,TRUE,AAC2473
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,HINRA26M/ HONRA26,,,Rinnai,0.1,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.59,2.51,2.61,193,0,0,0,302,0.63,2.78,Calorimeter Room,4.3946,4.4496,TRUE,0,,1,1,0,0,,,,4.369697173,4.425665998,,,4.2394,4.3513,4,4,Calorimeter Room,Single,R410A,Australia,105913,2022/5/24,,Approved,Reverse Cycle,805,Class 3,TRUE,TRUE,,TRUE,TRUE,TRUE,,4.3946,Available,,,TRUE,AAC2578
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,HINRA35M/ HONRA35,,,Rinnai,0.26,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.86,3.24,3.5,222,0,0,0,325,0.84,3.68,Calorimeter Room,4.0804,4.3543,TRUE,0,,1,1,0,0,,,,4.064408275,4.33689726,,,3.6288,4.1738,3.5,4,Calorimeter Room,Single,R410A,Australia,105914,2022/3/29,,Approved,Reverse Cycle,964,Class 3,TRUE,TRUE,,TRUE,TRUE,TRUE,,4.0804,Available,,,TRUE,AAC2505
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,HONRA50/ HINRA50M,,,Rinnai,0.92,Non Ducted,Single Split System,Wall Hung,Air,Air,China,1.32,4.02,4.94,222,0,0,0,325,1.32,5.03,Calorimeter Room,3.7383,3.8208,TRUE,0,,1,1,0,0,,,,3.728741946,3.811024099,,,2.9575,3.122,2.5,3,Calorimeter Room,Single,R410A,Australia,105915,2022/3/29,,Approved,Reverse Cycle,964,Class 4,TRUE,TRUE,,TRUE,TRUE,TRUE,,3.7383,Available,,,TRUE,AAC2506
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,SRD203C / SRM201E,SRD203C / SRV201E,,ACTRON AIR,2.28,Ducted,Single Split System,,Air,Air,Australia,5.78,17.06,19.34,,0,0,0,,5.24,20.09,Enthalpy Test Room,3.2633,3.7387,TRUE,0,,8.8,8.8,0,0,,,,3.246614653,3.717637897,,,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",105971,2022/3/17,,Approved,Reverse Cycle,,Class 11,FALSE,,TRUE,,,,2020-070,3.2633,Available,,,TRUE,AAC2479
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,SRD203C / SRV201A & SRV201F,SRD203C / SRV201E,,ACTRON AIR,2.28,Ducted,Single Split System,,Air,Air,Australia,5.78,17.06,19.34,,0,0,0,,5.24,20.09,Enthalpy Test Room,3.2633,3.7387,TRUE,0,,8.8,8.8,0,0,,,,3.246614653,3.717637897,,,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",105971,2022/3/17,,Approved,Reverse Cycle,,Class 11,FALSE,,TRUE,,,,2020-070,3.2633,Available,,,TRUE,AAC2479
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,SRD203C / SRV201E,SRD203C / SRV201E,,ACTRON AIR,2.28,Ducted,Single Split System,,Air,Air,Australia,5.78,17.06,19.34,,0,0,0,,5.24,20.09,Enthalpy Test Room,3.2633,3.7387,TRUE,0,,8.8,8.8,0,0,,,,3.246614653,3.717637897,,,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",105971,2022/3/17,,Approved,Reverse Cycle,,Class 11,FALSE,,TRUE,,,,2020-070,3.2633,Available,,,TRUE,AAC2479
